fk_word,def_en,def_es,translation
1104,extremely old; having existed for a very long time,extremadamente antiguo; existente durante un período muy largo,antiguo/antigua
1105,a sudden and unexpected event that causes surprise or alarm.,un evento repentino y inesperado que causa sorpresa o alarma.,choque
1106,a period of time during which something is happening,un período de tiempo durante el cual algo está sucediendo,mientras
1107,A portion of something set aside for future use or occupation.,Una parte de algo que se deja a un lado para uso o ocupación futura.,reserva
1108,A regularly scheduled delivery of letters and other documents,Una entrega regular de cartas y documentos,correo
1109,occurring or done every day,ocurriendo o realizándose cada día,diario/diaria
1110,"A shortage or lack of something, especially money.","Un déficit o falta de algo, especialmente dinero.",déficit
1111,A source of energy that powers a vehicle or other machine.,Un fuente de energía que alimenta un vehículo o otra máquina.,combustible
1112,a contact team sport in which two teams of 15 players try to score points by carrying or passing the ball over a series of goals.,un deporte de contacto en el que dos equipos de 15 jugadores intentan marcar puntos al llevar o pasar la pelota sobre una serie de metros.,rugby
1113,A bag or case for carrying things.,Un paquete o bolsa para llevar cosas.,paquete
1114,a fundamental assumption or starting point,una suposición fundamental o punto de partida,base
1115,"A skill or technique used to achieve an end,",,truco
1116,kept or set apart for a particular purpose.,mantenido o establecido separadamente para un fin particular.,separado/separada
1117,to direct or control something,dirigir o controlar algo,gestionar
1118,"A written symbol or mark indicating a thought, feeling, or instruction.","Un símbolo o marca escrita que indica un pensamiento, sentimiento o instrucción.",nota
1119,extremely large in size or amount,extremadamente grande en tamaño o cantidad,enorme
1120,to make something or someone become more widespread or popular,hacer que algo o a alguien se convierta en más amplio o popular,extender
1121,relating to or characteristic of the Western world,relacionado con o característico del mundo occidental,occidental
1122,a means of carrying people or goods from one place to another,un medio de transporte de personas o mercancías desde un lugar a otro,transporte
1123,A movie is a film made for the screen.,Una película es una obra de arte hecho para la pantalla.,película
1124,"a unit of distance equal to 5,280 feet or 1,760 meters","una unidad de distancia igual a 5,280 pies o 1,760 metros",milla
1125,"of a rich, bright yellow color",de un color amarillo brillante,dorado/dorada
1126,"relating to or denoting a person who is in an advanced stage of life, typically over 60.","relacionado con o correspondiente a una persona que está en un estado avanzado de la vida, típicamente mayor de 60 años.",senior/mayor
1127,"A loud, sharp noise made by an explosion or a sudden impact.",Un sonido fuerte y agudo producido por una explosión o un golpe repentinamente aplicado.,golpe/explosión
1128,a hint or piece of information that helps to solve a puzzle or mystery,un indicio o fragmento de información que ayuda a resolver un acertijo o misterio,pista
1129,a deficiency or want of something necessary for well-being or success.,una deficiencia o falta de algo necesario para el bienestar o el éxito.,falta
1130,relating to or conducted in a lawful and orderly manner,relacionado o llevado a cabo de acuerdo con la ley y el orden,civil
1131,"the act of rehearsing or preparing for a sport, exam, etc.","el acto de ejercitar o prepararse para un deporte, examen, etc.",práctica
1132,used to describe something that is certain or unquestionable,se utiliza para describir algo que es cierto o indiscutible,absoluto/absoluta
1133,a responsibility or obligation,una responsabilidad o obligación,deber
1134,a plan or set of actions to cure or relieve a disease or injury,un plan o conjunto de acciones para curar o aliviar una enfermedad o lesión,tratamiento
1135,occurring in the middle of something,ocurriendo en el medio de algo,medio
1136,A display device used for visual presentation and interaction.,Un dispositivo de muestra para presentación visual y interacción.,pantalla
1137,"a young sheep, especially one that is less than a year old","un cordero, especialmente uno que es menor de un año",cordero
1138,given a situation that is absurd or unrealistic,dado un escenario absurdo o inrealista,tonto/tonta
1139,to provide something needed or wanted,providar algo necesario o deseado,servir
1140,A mutual understanding or consent reached through discussion or negotiation.,Un entendimiento mutuo o consenso alcanzado a través de la discusión o negociación.,acuerdo
1141,to make something better or more efficient,hacer algo mejor o más eficiente,mejorar
1142,the act of a person coming into existence,el acto de una persona naciendo,nacimiento
1143,A place for learning and research.,Un lugar para aprender y investigar.,estudio
1144,A line or area that marks the edge of something.,Una línea o área que marca la frontera de algo.,frontera
1145,reasonably good or satisfactory,razonablemente bueno o aceptable,decente
1146,relating to or characterized by music,relacionado o caracterizado por música,musical
1147,a situation or event that is disastrous,un desastre,desastre
1148,not capable of being done or existing; not possible.,no capaz de ser hecho o existente; imposible.,imposible
1149,to become visible or be seen,ser visible o ser visto,aparecer
1150,A choice or way of doing something.,Una elección o forma de hacer algo.,opción
